isin,symbol
SE0005392537,SOLT.ST
MYL6033OO004,False
US5246601075,LEG
US26875P1012,EOG
NO0010199151,PGS.OL
US80585Y3080,False
CA64128F7039,NCU.TO
FR0000133308,ORA.PA
US20854L1089,CEIX
US64118P1093,NLST
IE00BYTBXV33,RYA.IR
BMG396372051,GOGL
DE000A12UKK6,RKET.HM
JE00B6T5S470,POLY.L
US1653031088,CPK
DE000A2P4LJ5,PSG.F
GB00BZ09BD16,TEAM
US63253R2013,KAP.IL
US42824C1099,HPE
FI0009010227,TEM1V.HE
US26614N1028,DD
NL0011585146,RACE
CA64073L1013,NDA.V
DE0005102008,BSL.DE
DE000A1TNUT7,DBAN.DE
AT0000720008,TKA.VI
US04013V1089,ACRE
GB0007908733,SSE.L
DE0009145425,4RL.BE
FR0000121667,EL.PA
US2091151041,ED
US78410G1040,SBAC
US46185L1035,NVTA
DE000A0JC8S7,D6H.DE
DE0005157101,HNL.DE
US48251W1045,KKR
AU000000COH5,COH.AX
IT0000072618,ISP.MI
DE000A3CQ7F4,BIKE.F
AU0000071482,EGR.AX
US4567881085,INFY
US33813J1060,FSR
NL0015000D50,NXFIL.AS
DE0008051004,WUW.DE
NL0010872420,AFMD
US5657881067,MARA
MHY7542C1306,STNG
GB0008706128,LLOY.L
DE000A2E4SV8,CYR.DE
US2567461080,DLTR
US22266T1097,CPNG
CA7847301032,SSRM.TO
CH0014852781,SLHN.SW
JP3753000003,9101.T
US9633201069,WHR
NO0010715139,SCATC.OL
CNE100000Q35,2238.HK
US9024941034,TSN
DE0005489561,ULC.DE
FR0013344173,RBO.PA
SE0006256798,HEART.ST
US8175651046,SCI
US21036P1084,STZ
PLKGHM000017,KGH.WA
SE0003366871,SAS.ST
AT000000STR1,STR.VI
US20030N1019,CMCSA
JP3726800000,2914.T
DE0005494165,EQS.DE
US1252691001,CF
US1252691001,CF
LU1704650164,BFSA.DE
US8716071076,SNPS
DE000A1MMEV4,SGF.DE
US1468691027,CVNA
CA50545P3097,LUR.CN
FR0000131906,RNO.PA
DE0005220008,EBK.DE
US7433151039,PGR
DE000A13SX22,HLE.DE
LU2333210958,SUSE.DE
US55315J1025,False
DE000A2GS609,WSO1.DE
US7960508882,SMSN.IL
FI0009005961,STERV.HE
US2270461096,CROX
US9694571004,WMB
BE0974268972,BPOST.BR
US98419M1009,XYL
NL0009538784,NXPI
US9285634021,VMW
US5705351048,MKL
MHY2187A1507,EGLE
AT0000831706,WIE.VI
FR0000121972,SU.PA
US71654V4086,PBR
US3765361080,GOOD
AT0000938204,MMK.VI
US3154051003,False
NO0010785967,QFUEL.OL
US90353T1007,UBER
US5658491064,MRO
NL0012866412,BESI.AS
FR0013495298,ALGAU.PA
US24703L2025,DELL
IT0005239360,UCG.MI
HK0285041858,0285.HK
DE0005774103,FEV.DE
CA64134L1085,NVLH.CN
CH0012214059,HOLN.SW
AT0000KTMI02,AT0000KTMI02.SG
CA8473811005,SPMT.CN
BMG3122U1457,0330.HK
CA22587M1068,CL.CN
US09062X1037,BIIB
IT0003073266,PIA.MI
CA29446Y5020,EQX.TO
AU000000TER9,TER.AX
CA02735A1057,AMY.V
IE00BJ3V9050,ENDP
CA0898041086,BIGG.CN
US37611X1000,DNA
US74762E1029,PWR
DE000A3CSAE2,DE000A3CSAE2.SG
MHY2106R1100,LPG
ES0177542018,IAG.L
CA6544841043,NB.TO
IE00BLS09M33,PNR
US74758T3032,QLYS
DE0005089031,UTDI.DE
DE0005093108,AAD.DE
DE000A1MMCC8,ILM1.DE
US3695501086,GD
US4523081093,ITW
US2788651006,ECL
US44951Y1029,HYZN
US81730H1095,S
US9224751084,VEEV
DE000STRA555,SBS.DE
DE000A2G8ZX8,PYRUM.OL
CH0334081137,CRSP
GB00B7KR2P84,EZJ.L
GB00B02J6398,ADM.L
FR0000120172,CA.PA
LU0088087324,0M6P.IL
CH1134540470,ONON
US67103H1077,ORLY
